NO_OF_FRAMES	2199
NO_OF_CAMERAS	12
NO_OF_MARKERS	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-04-26, 10:43:22.776	3767.62717060
DATA_INCLUDED	3D
MARKER_NAMES	Osa L	Osa R
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	Osa L X	Osa L Y	Osa L Z	Osa R X	Osa R Y	Osa R Z	
1	0.00000	-171.090	-1119.992	1222.587	7.461	1085.186	1242.500
2	0.01000	-171.031	-1119.880	1216.214	7.039	1085.274	1236.074
3	0.02000	-170.982	-1119.755	1209.816	6.601	1085.362	1229.659
4	0.03000	-170.924	-1119.616	1203.412	6.248	1085.477	1223.225
5	0.04000	-170.889	-1119.478	1197.024	5.839	1085.618	1216.836
6	0.05000	-170.813	-1119.314	1190.618	5.452	1085.766	1210.426
7	0.06000	-170.713	-1119.153	1184.204	5.007	1085.913	1204.066
8	0.07000	-170.566	-1118.982	1177.804	4.538	1086.061	1197.696
9	0.08000	-170.372	-1118.807	1171.369	4.071	1086.193	1191.318
10	0.09000	-170.172	-1118.633	1164.940	3.588	1086.351	1184.967
11	0.10000	-169.948	-1118.425	1158.507	3.114	1086.508	1178.596
12	0.11000	-169.736	-1118.219	1152.085	2.676	1086.718	1172.244
13	0.12000	-169.547	-1117.990	1145.700	2.302	1086.959	1165.935
14	0.13000	-169.381	-1117.724	1139.325	1.916	1087.192	1159.645
15	0.14000	-169.223	-1117.475	1132.967	1.573	1087.474	1153.418
16	0.15000	-169.068	-1117.200	1126.614	1.205	1087.745	1147.166
17	0.16000	-168.901	-1116.921	1120.271	0.852	1087.996	1140.930
18	0.17000	-168.761	-1116.645	1113.922	0.532	1088.221	1134.688
19	0.18000	-168.637	-1116.359	1107.536	0.229	1088.503	1128.431
20	0.19000	-168.518	-1116.074	1101.166	0.010	1088.774	1122.166
21	0.20000	-168.437	-1115.778	1094.822	-0.156	1089.050	1115.917
22	0.21000	-168.396	-1115.466	1088.496	-0.315	1089.376	1109.678
23	0.22000	-168.381	-1115.160	1082.233	-0.427	1089.676	1103.482
24	0.23000	-168.479	-1114.295	1075.935	-0.601	1089.800	1097.369
