time,height
0.0,-0.4159447252750397
0.03,-0.4362635016441345
0.07,-0.44246771931648254
0.1,-0.44564908742904663
0.13,-0.4449731111526489
0.17,-0.44355151057243347
0.2,-0.4426344037055969
0.23,-0.44240787625312805
0.27,-0.4411751925945282
0.3,-0.4407489001750946
0.33,-0.4402575194835663
0.37,-0.43999916315078735
0.4,-0.43977171182632446
0.43,-0.43978583812713623
0.47,-0.4404222071170807
0.5,-0.4403582215309143
0.53,-0.4400498867034912
0.57,-0.43964868783950806
0.6,-0.4396674335002899
0.63,-0.43961599469184875
0.67,-0.43957802653312683
0.7,-0.4401741027832031
0.73,-0.43911367654800415
0.77,-0.4383378326892853
0.8,-0.4383167028427124
0.83,-0.43797484040260315
0.87,-0.43972697854042053
0.9,-0.4466743469238281
0.93,-0.44823741912841797
0.97,-0.44858407974243164
1.0,-0.44841042160987854
1.03,-0.448258638381958
1.07,-0.44816023111343384
1.1,-0.4480801224708557
1.13,-0.4469154477119446
1.17,-0.4453422427177429
1.2,-0.4444637596607208
1.23,-0.4444292485713959
1.27,-0.44440239667892456
1.3,-0.4441216289997101
1.33,-0.44400089979171753
1.37,-0.44397029280662537
1.4,-0.4447232186794281
1.43,-0.44506919384002686
1.47,-0.44505274295806885
1.5,-0.4446670413017273
1.53,-0.444413423538208
1.57,-0.44428566098213196
1.6,-0.44393283128738403
1.63,-0.4437212646007538
1.67,-0.4439570903778076
1.7,-0.4439502954483032
1.73,-0.4444628357887268
1.77,-0.4445558786392212
1.8,-0.44471174478530884
1.83,-0.44470784068107605
1.87,-0.44506314396858215
1.9,-0.44600507616996765
1.93,-0.44607627391815186
1.97,-0.4461255371570587
2.0,-0.4484952688217163
2.03,-0.4514266550540924
2.07,-0.45308437943458557
2.1,-0.45433759689331055
2.13,-0.4572492837905884
2.17,-0.45950084924697876
2.2,-0.46321579813957214
2.23,-0.46462175250053406
2.27,-0.4738337993621826
2.3,-0.4733799993991852
2.33,-0.4752011001110077
2.37,-0.4754427671432495
2.4,-0.4749978482723236
2.43,-0.47727054357528687
2.47,-0.4790727198123932
2.5,-0.4752263128757477
2.53,-0.4625810384750366
2.57,-0.4563988149166107
2.6,-0.45398110151290894
2.63,-0.4467569887638092
2.67,-0.44042646884918213
2.7,-0.43762215971946716
2.73,-0.4355248212814331
2.77,-0.4336184859275818
2.8,-0.4243876338005066
2.83,-0.42648959159851074
2.87,-0.4254012107849121
2.9,-0.4262053966522217
2.93,-0.4261397123336792
2.97,-0.4255383610725403
3.0,-0.42047035694122314
3.03,-0.42724865674972534
3.07,-0.4267304241657257
3.1,-0.4242081642150879
3.13,-0.423590749502182
3.17,-0.42180362343788147
3.2,-0.4202428162097931
3.23,-0.42182135581970215
3.27,-0.42186132073402405
3.3,-0.42299142479896545
3.33,-0.42276591062545776
3.37,-0.4225875437259674
3.4,-0.4221942126750946
3.43,-0.4233129024505615
3.47,-0.42369523644447327
3.5,-0.4246913492679596
3.53,-0.4247189462184906
3.57,-0.42242854833602905
3.6,-0.42070847749710083
3.63,-0.4178510904312134
3.67,-0.4155392348766327
3.7,-0.4126078486442566
3.73,-0.4127548933029175
3.77,-0.41294318437576294
3.8,-0.41235390305519104
3.83,-0.4123675525188446
3.87,-0.412402868270874
3.9,-0.4128333330154419
3.93,-0.41496405005455017
3.97,-0.41260892152786255
4.0,-0.4136546850204468
4.03,-0.4181736409664154
4.07,-0.4246242344379425
4.1,-0.4286137521266937
4.13,-0.4261329472064972
4.17,-0.4253798723220825
4.2,-0.4277808368206024
4.23,-0.4279971122741699
4.27,-0.42879682779312134
4.3,-0.42880979180336
4.33,-0.4288167953491211
4.37,-0.4290391802787781
4.4,-0.43281081318855286
4.43,-0.43770831823349
4.47,-0.44400420784950256
4.5,-0.451946496963501
4.53,-0.4583391845226288
4.57,-0.4572656452655792
4.6,-0.457154244184494
4.63,-0.46229222416877747
4.67,-0.4619860351085663
4.7,-0.4614591598510742
4.73,-0.4589972496032715
4.77,-0.4579099118709564
4.8,-0.45515111088752747
4.83,-0.447811096906662
4.87,-0.4378092288970947
4.9,-0.43405747413635254
4.93,-0.4334481358528137
4.97,-0.42924854159355164
5.0,-0.42962372303009033
5.03,-0.42943382263183594
5.07,-0.4296170771121979
5.1,-0.42978230118751526
5.13,-0.43016254901885986
5.17,-0.43548452854156494
5.2,-0.436074823141098
5.23,-0.4366782605648041
5.27,-0.43665212392807007
5.3,-0.43690991401672363
5.33,-0.4369901716709137
5.37,-0.4371028542518616
5.4,-0.4372328221797943
5.43,-0.43726834654808044
5.47,-0.4367985427379608
5.5,-0.4364958703517914
5.53,-0.43639785051345825
5.57,-0.43582338094711304
5.6,-0.4353851079940796
5.63,-0.43532827496528625
